Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
11/23/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-23
11/24/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-24
11/25/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-25
11/26/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-26
11/27/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-27
11/30/2015,360.00,/,/,360.00,0.00,0,0,0,2015-11-30
12/1/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-01
12/3/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-03
12/4/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-04
12/7/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-07
12/9/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-09
12/10/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-10
12/11/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-11
12/14/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-14
12/15/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-15
12/16/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-16
12/17/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-17
12/18/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-18
12/21/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-21
12/22/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-22
12/23/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-23
12/24/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-24
12/25/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-25
12/28/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-28
12/29/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-29
12/30/2015,360.00,/,/,360.00,0.00,0,0,0,2015-12-30
1/4/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-04
1/5/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-05
1/8/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-08
1/11/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-11
1/12/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-12
1/13/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-13
1/14/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-14
1/15/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-15
1/18/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-18
1/20/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-20
1/21/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-21
1/22/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-22
1/25/2016,360.00,/,/,360.00,0.00,0,0,"3,962,700",2016-01-25
1/26/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-26
1/27/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-27
1/28/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-28
1/29/2016,360.00,/,/,360.00,0.00,0,0,0,2016-01-29
2/1/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-01
2/2/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-02
2/3/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-03
2/4/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-04
